"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1969","1969","EUR","Euro","6","Millions",,,18533.4367,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1970","1970","EUR","Euro","6","Millions",,,22560.4072,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1971","1971","EUR","Euro","6","Millions",,,24765.9198,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1972","1972","EUR","Euro","6","Millions",,,26084.1338,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1973","1973","EUR","Euro","6","Millions",,,30968.8603,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1974","1974","EUR","Euro","6","Millions",,,40819.8103,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1975","1975","EUR","Euro","6","Millions",,,41126.4427,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1976","1976","EUR","Euro","6","Millions",,,48185.1017,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1977","1977","EUR","Euro","6","Millions",,,51045.6464,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1978","1978","EUR","Euro","6","Millions",,,53168.6433,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1979","1979","EUR","Euro","6","Millions",,,62554.0417,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1980","1980","EUR","Euro","6","Millions",,,71397.485,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1981","1981","EUR","Euro","6","Millions",,,76582.7316,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1982","1982","EUR","Euro","6","Millions",,,78644.6058,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1983","1983","EUR","Euro","6","Millions",,,82619.622,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1984","1984","EUR","Euro","6","Millions",,,90321.0886,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1985","1985","EUR","Euro","6","Millions",,,97898.2722,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1986","1986","EUR","Euro","6","Millions",,,84859.7708,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1987","1987","EUR","Euro","6","Millions",,,84993.2221,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1988","1988","EUR","Euro","6","Millions",,,90255.891,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1989","1989","EUR","Euro","6","Millions",,,101642.0407,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1990","1990","EUR","Euro","6","Millions",,,104844.8728,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1991","1991","EUR","Euro","6","Millions",,,109294.6091,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1992","1992","EUR","Euro","6","Millions",,,108619.2027,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1993","1993","EUR","Euro","6","Millions",,,105278.8443,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1994","1994","EUR","Euro","6","Millions",,,116155.6378,"E","Estimated value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,129241,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,136621,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,152448,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,158262,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,169612,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,203973,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,203301,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,193376,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,194628,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,214020,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,233889,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,264231,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,283423,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,302001,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,244960,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,292578,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,327049,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,344889,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,343001,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,345078,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,352926,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,355196,,
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,391263,"P","Provisional value"
NLD,"Netherlands","P71","Imports of goods","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,415818,"P","Provisional value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1969","1969","EUR","Euro","6","Millions",,,55910.3165,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1970","1970","EUR","Euro","6","Millions",,,62693.1804,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1971","1971","EUR","Euro","6","Millions",,,71148.2798,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1972","1972","EUR","Euro","6","Millions",,,79674.63,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1973","1973","EUR","Euro","6","Millions",,,91677.1575,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1974","1974","EUR","Euro","6","Millions",,,104264.8056,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1975","1975","EUR","Euro","6","Millions",,,115499.7672,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1976","1976","EUR","Euro","6","Millions",,,131744.9582,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1977","1977","EUR","Euro","6","Millions",,,142857.9298,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1978","1978","EUR","Euro","6","Millions",,,154036.7544,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1979","1979","EUR","Euro","6","Millions",,,163553.0595,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1980","1980","EUR","Euro","6","Millions",,,176066.218,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1981","1981","EUR","Euro","6","Millions",,,185849.174,"E","Estimated value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1982","1982","EUR","Euro","6","Millions",,,192029.6444,"E","Estimated value"
